isoweek,city_wide_data_week_ending,city_wide_index,man_index,bk_index,qn_index
1,2019-01-06,110.94793055928598,110.14744145706852,109.27573062261753,122.50000000000001
2,2019-01-13,92.22737820095446,96.31949882537197,94.70124013528748,75.51020408163265
3,2019-01-20,109.33940773242148,102.861562258314,112.54396248534584,109.51526032315977
4,2019-01-27,89.23857868926281,90.5971173644475,77.78915046059365,107.8125
5,2019-02-03,111.04477611940298,107.70194113963683,123.84851586489252,103.85259631490786
6,2019-02-10,92.30769231604594,96.31260319207485,86.48648648648648,88.39779005524862
7,2019-02-17,107.27934486872424,108.6121777290181,112.95034079844206,90.90909090909092
8,2019-02-24,98.6522911051213,95.97352454495311,93.841642228739,111.61387631975867
9,2019-03-03,93.65079365079364,93.47826086956522,91.9651500484027,101.83875530410182
10,2019-03-10,103.32778701303428,104.04040404040404,106.25,93.88335704125178
11,2019-03-17,101.87793427230048,104.70189045079981,100.57708161582852,99.59072305593452
12,2019-03-24,99.69088099688493,95.95713589868484,97.07971586424625,108
13,2019-03-31,97.35849055868992,97.59615384615384,104.08635312259061,91.84993531694697
14,2019-04-07,103.18047336514937,102.61108566193312,103.14960629921259,96.73518742442563
15,2019-04-14,100.9572901251136,105.06912442396312,86.66164280331576,119.31119311193112
16,2019-04-21,97.611940291223,89.35788055680288,118.75,86.67529107373868
17,2019-04-28,97.59825327510917,104.32900432900433,85.40145985401459,100
18,2019-05-05,104.69083155650321,108.7236785560808,105.97014925373134,90.43250327653998
19,2019-05-12,100.42826552462527,91.07142857142857,102.36220472440947,118.40411840411839
20,2019-05-19,100.07564295763423,104.8780487804878,99.48032665181886,92.3076923076923
21,2019-05-26,97.55327546152749,96.55172413793103,100.55423594615993,98.17671809256663
22,2019-06-02,100.40420372679097,101.90427174472465,94.62710505212509,100.98176718092566
23,2019-06-09,98.40383079821197,97.5735673722251,99.00230237912508,98.22646657571624
24,2019-06-16,100.23419203747072,98.47715736040608,110.17597551644988,98.7012987012987
25,2019-06-23,98.29503335075648,101.31514856307842,85.18253400143165,102.46913580246914
26,2019-06-30,113.06058220983,113.40752517223108,116.4179104477612,113.97557666214382
27,2019-07-07,82.09538702752897,78.68852459016394,90.90909090909092,69.85769728331177
28,2019-07-14,104.81366460441099,97.94871794871794,98.76543209876544,128.76712328767124
29,2019-07-21,108.92857142857142,122.54901960784315,107.91366906474819,86.26974483596598
30,2019-07-28,93.62029207581703,84.23645320197043,99.77151561309977,104.72541507024266
31,2019-08-04,100.74257425742574,106.81818181818181,98.00520381613184,94.25287356321839
32,2019-08-11,103.10077519379846,102.23835450695704,90.50576752440107,114.52184179456906
33,2019-08-18,97.34917732199733,89.50418544752092,116.03773584905662,94.10288582183186
34,2019-08-25,99.80430527399174,106.25420309347682,88.82521489971347,100.44977511244377
35,2019-09-01,99.59390863955268,101.36054421768708,102.40334378265412,89.23076923076924
36,2019-09-08,96.75456388471049,98.3125458547322,96,97.22222222222221
37,2019-09-15,104.8155737812311,99.21259842519686,104.63968410661401,111.39240506329114
38,2019-09-22,90.05681818181817,88.51499634235553,93.32113449222325,95.9902794653706
39,2019-09-29,110.14760148617597,109.91233985165205,104.34782608695652,108.54816824966078
40,2019-10-06,99.72972972972973,101.8987341772152,103.10142497904442,91.17647058823529
41,2019-10-13,95.01385041551247,96.15384615384616,93.72453137734311,98.4126984126984
42,2019-10-20,98.32155477900368,95.73170731707317,102.60457774269929,98.48484848484848
43,2019-10-27,102.53475060486224,102.37963475373549,99.26470588235294,108.72894333843799
44,2019-11-03,101.16550116550115,106.78056593699945,99.51287404314544,87.3362445414847
45,2019-11-10,101.6355140186916,93.30521876647339,108.51063829787233,109.80966325036603
46,2019-11-17,98.10874704491725,101.58730158730158,93.86548410938654,96.81881051175657
47,2019-11-24,113.96192202049302,112.94922989161438,113.8211382113821,115.56982343499197
48,2019-12-01,76.56546490289995,83.7954405422058,70.97933513027853,77.58620689655173
49,2019-12-08,107.75269871366508,96.83544303797468,116.53116531165311,103.63636363636364
50,2019-12-15,103.69036904623677,104.93477027793534,103.07564422277639,112.5
51,2019-12-22,113.76050421363031,121.4240305149396,108.76132930513596,99.37888198757764
52,2019-12-29,76.17295308187673,69.56521739130434,76.12456747404845,77.80320366132723
1,2020-01-05,97.32977301771297,82.3937554206418,108.00508259212198,130
2,2020-01-12,107.19257541846783,108.06577916992953,114.99436302142053,108.16326530612245
3,2020-01-19,124.71526194479326,122.96983758700695,138.33528722157092,118.49192100538599
4,2020-01-26,95.63451777620655,94.71516815374056,111.56601842374616,84.375
5,2020-02-02,121.49253731343283,122.73011897307453,128.96622313203684,100.50251256281406
6,2020-02-09,110.22624435386663,104.56796917996698,103.60360360360362,125.23020257826889
7,2020-02-16,110.28207462331959,101.48107515085023,119.76630963972737,109.7770154373928
8,2020-02-23,91.37466307277629,88.25151682294539,100.68426197458456,81.44796380090497
9,2020-03-01,107.40740740740742,88.58695652173914,139.3998063891578,107.4964639321075
10,2020-03-08,101.0815307736205,96.96969696969697,108.03571428571428,93.88335704125178
11,2020-03-15,88.96713615023474,86.76684440135725,105.52349546578729,68.21282401091405
12,2020-03-22,48.9180834659133,46.27374573794447,51.302288871349646,54.666666666666664
13,2020-03-29,28.075471695994302,26.923076923076923,30.06939090208173,23.28589909443726
14,2020-04-05,23.298816566324053,23.3623453962437,24.409448818897637,20.556227327690447
15,2020-04-12,24.300441824425594,27.64976958525346,27.128862094951018,12.300123001230013
16,2020-04-19,20.597014923836042,13.920071845532107,25.78125,20.69857697283312
