date,Chicago,Houston,Los Angeles,New York,Washington
2022-07-09,-27.23857142857143,-5.862857142857151,-23.924285714285713,-43.13428571428572,-23.514285714285712
2022-07-08,-26.750000000000004,-4.3342857142857225,-23.072857142857146,-42.285714285714285,-22.414285714285715
2022-07-07,-25.472857142857144,-0.98142857142858,-21.98,-40.23142857142857,-22.795714285714286
2022-07-06,-22.187142857142856,10.155714285714279,-11.49714285714286,-33.94428571428571,-23.435714285714287
2022-07-05,-19.44142857142857,12.494285714285708,-9.804285714285715,-29.64428571428571,-21.84
2022-07-04,-13.061428571428573,18.129999999999992,-6.645714285714287,-25.194285714285716,-17.575714285714287
2022-07-03,-11.468571428571428,20.51857142857142,-2.560000000000002,-24.352857142857143,-23.305714285714284
2022-07-02,-14.025714285714287,16.60857142857142,-5.060000000000002,-25.398571428571426,-27.821428571428573
2022-07-01,-15.794285714285715,16.19857142857142,-4.652857142857145,-25.58857142857143,-27.021428571428572
2022-06-30,-15.49,14.17714285714285,-5.295714285714288,-26.065714285714282,-24.948571428571427
2022-06-29,-17.69142857142857,3.001428571428563,-14.997142857142858,-31.555714285714284,-23.3
2022-06-28,-18.65285714285714,1.8671428571428488,-16.13714285714286,-34.20285714285714,-23.488571428571426
2022-06-27,-23.415714285714284,1.4728571428571346,-17.25714285714286,-35.82142857142857,-26.145714285714288
2022-06-26,-23.442857142857147,3.2185714285714204,-18.18,-35.62714285714286,-24.93
2022-06-25,-21.495714285714286,17.047142857142852,-12.784285714285716,-34.15571428571428,-23.192857142857143
2022-06-24,-21.677142857142858,19.68571428571428,-12.97857142857143,-34.83428571428571,-24.321428571428573
2022-06-23,-22.864285714285717,20.019999999999992,-12.385714285714288,-35.51142857142857,-25.96857142857143
2022-06-22,-22.178571428571427,21.619999999999994,-12.325714285714287,-35.855714285714285,-26.928571428571427
2022-06-21,-21.26571428571429,22.988571428571422,-11.454285714285717,-35.03285714285714,-26.28857142857143
2022-06-20,-18.924285714285713,22.265714285714278,-9.310000000000002,-33.74857142857143,-25.574285714285715
2022-06-19,-18.897142857142857,20.312857142857133,-9.370000000000003,-32.88285714285714,-26.875714285714285
2022-06-18,-24.07857142857143,0.5671428571428504,-17.54714285714286,-35.730000000000004,-31.298571428571428
2022-06-17,-23.114285714285717,-3.320000000000007,-17.357142857142858,-34.76,-31.034285714285716
2022-06-16,-23.57714285714286,-4.4085714285714355,-16.79714285714286,-34.23142857142857,-30.03857142857143
2022-06-15,-23.53714285714286,-4.732857142857149,-15.952857142857143,-33.135714285714286,-28.805714285714284
2022-06-14,-23.64428571428572,-5.494285714285722,-17.315714285714286,-33.56142857142857,-30.33857142857143
2022-06-13,-25.27285714285714,-4.2714285714285785,-20.197142857142858,-34.87428571428571,-31.715714285714284
2022-06-12,-28.71857142857143,-3.2485714285714353,-22.194285714285716,-34.96,-32.00142857142857
2022-06-11,-26.63571428571429,4.331428571428565,-18.981428571428573,-33.80571428571428,-29.41
2022-06-10,-27.482857142857142,5.739999999999994,-19.535714285714285,-34.60857142857143,-30.22
2022-06-09,-25.984285714285715,6.401428571428565,-20.028571428571432,-35.41571428571429,-30.311428571428568
2022-06-08,-27.35857142857143,6.201428571428565,-21.107142857142858,-37.56142857142857,-33.38142857142857
2022-06-07,-29.601428571428574,7.404285714285708,-20.19142857142857,-39.36714285714286,-33.83714285714286
2022-06-06,-30.640000000000004,3.472857142857136,-20.014285714285712,-42.24857142857143,-35.68
2022-06-05,-28.56142857142857,4.77571428571428,-17.195714285714285,-44.04,-35.55
2022-06-04,-26.751428571428573,6.6799999999999935,-14.595714285714285,-43.66285714285714,-32.607142857142854
2022-06-03,-24.755714285714287,7.864285714285708,-13.741428571428571,-44.83142857142857,-30.594285714285714
2022-06-02,-26.681428571428572,11.024285714285709,-12.011428571428572,-46.107142857142854,-31.231428571428573
2022-06-01,-26.74857142857143,14.511428571428565,-8.91,-45.037142857142854,-29.634285714285713
2022-05-31,-24.612857142857145,15.587142857142851,-6.832857142857144,-42.58571428571429,-27.324285714285715
2022-05-30,-17.52714285714286,22.948571428571423,-1.1757142857142864,-36.97428571428571,-22.391428571428573
2022-05-29,-13.827142857142858,22.72428571428571,-2.7571428571428576,-34.931428571428576,-22.671428571428574
2022-05-28,-17.565714285714286,18.69285714285714,-5.751428571428572,-35.26714285714286,-27.805714285714288
2022-05-27,-20.052857142857142,18.38714285714285,-5.652857142857143,-31.944285714285716,-28.09714285714286
2022-05-26,-17.21,16.94285714285714,-6.902857142857143,-29.28142857142857,-25.574285714285715
2022-05-25,-16.064285714285717,15.892857142857137,-8.595714285714285,-27.832857142857144,-22.46
2022-05-24,-18.475714285714286,13.71571428571428,-9.401428571428571,-28.017142857142858,-23.060000000000002
2022-05-23,-23.911428571428576,9.364285714285709,-12.615714285714287,-30.708571428571428,-24.768571428571427
2022-05-22,-29.052857142857142,6.844285714285709,-11.754285714285714,-32.94285714285714,-25.568571428571428
2022-05-21,-29.262857142857143,11.02714285714285,-10.342857142857143,-33.105714285714285,-24.49142857142857
2022-05-20,-28.011428571428574,13.174285714285707,-9.34142857142857,-35.92714285714286,-26.90285714285714
2022-05-19,-27.97714285714286,13.267142857142852,-6.450000000000001,-37.46,-29.602857142857143
2022-05-18,-26.2,12.91428571428571,-4.030000000000001,-39.17857142857143,-32.174285714285716
2022-05-17,-23.705714285714286,13.777142857142852,-2.731428571428573,-40.848571428571425,-32.575714285714284
2022-05-16,-22.150000000000002,16.288571428571423,0.14999999999999883,-41.09285714285714,-32.25
