change,area,chg
WoW,City Wide Data,2.55
MoM,City Wide Data,-2.56
YoY,City Wide Data,-57.55
WoW,Manhattan Data,3.06
MoM,Manhattan Data,-1.87
YoY,Manhattan Data,-65.53
WoW,Brooklyn Data,3.59
MoM,Brooklyn Data,0.05
YoY,Brooklyn Data,-48.87
WoW,Queens Data,2.72
MoM,Queens Data,-8.32
YoY,Queens Data,-48.64
