Day of Week,date,subways_of_comparable_pre,7-day Average,Subway Mobility Index Original,Subway Mobility Index,Avg. Ridership,subways_total_estimated
4,2020-04-15,7,8.357142857,935.7142857,100,373570.7143,419851
5,2020-04-14,7.3,8.285714286,928.5714286,100,374725.8571,430946
6,2020-04-13,6.5,7.942857143,894.2857143,100,364060,363961
7,2020-04-12,8,7.714285714,871.4285714,100,360337.4286,198693
1,2020-04-11,7.8,7.542857143,854.2857143,100,360719.5714,257467
2,2020-04-10,7,7.242857143,824.2857143,100,356125.4286,400947
3,2020-04-09,7,7.228571429,822.8571429,100,353884.2857,405325
4,2020-04-08,7.3,7.271428571,827.1428571,100,355077.8571,428206
5,2020-04-07,7.6,7.314285714,831.4285714,100,355759.5714,435718
6,2020-04-06,8,7.528571429,852.8571429,100,367518.4286,446273
7,2020-04-05,9.1,7.685714286,868.5714286,100,371648.4286,227603
1,2020-04-04,8.6,7.8,880,100,375253.5714,282703
2,2020-04-03,8.5,8.014285714,901.4285714,100,387146.8571,484200
3,2020-04-02,8.2,8.185714286,918.5714286,100,398738.7143,486468
4,2020-04-01,8.7,8.385714286,938.5714286,100,411023.7143,514201
5,2020-03-31,8.8,8.557142857,955.7142857,100,421513.8571,509149
6,2020-03-30,9.8,8.814285714,981.4285714,100,435811.2857,546355
7,2020-03-29,11.7,9.185714286,1018.571429,100,441027.8571,264119
1,2020-03-28,10.2,9.414285714,1041.428571,100,448212.1429,332993
2,2020-03-27,11.8,9.885714286,1088.571429,100,473085.2857,658312
3,2020-03-26,11.8,10.4,1140,100,501007.4286,681923
4,2020-03-25,12.1,10.88571429,1188.571429,100,526350.7143,691604
5,2020-03-24,13.1,11.5,1250,100,559802.8571,743314
6,2020-03-23,13.1,11.97142857,1297.142857,100,583343.2857,711138
7,2020-03-22,16.9,12.71428571,1371.428571,100,604092.5714,409364
1,2020-03-21,20.5,14.18571429,1518.571429,100,645188.1429,620662
2,2020-03-20,23.9,15.91428571,1691.428571,100,738607.7143,1312249
3,2020-03-19,25.6,17.88571429,1888.571429,100,844842.1429,1425564
4,2020-03-18,28.6,20.24285714,2124.285714,100,978814.8571,1629413
5,2020-03-17,31.8,22.91428571,2391.428571,100,1128821.286,1793359
6,2020-03-16,40.5,26.82857143,2782.857143,100,1339272.429,2184296
7,2020-03-15,47.6,31.21428571,3221.428571,100,1446374.571,1159079
1,2020-03-14,52.5,35.78571429,3678.571429,100,1596680,1672800
2,2020-03-13,62,41.22857143,4222.857143,100,1908753.714,3496765
3,2020-03-12,71.6,47.8,4880,100,2299912.286,4163674
4,2020-03-11,81.5,55.35714286,5635.714286,100,2740347.857,4712462
5,2020-03-10,84.9,62.94285714,6394.285714,100,3181814.143,4883623
6,2020-03-09,89.6,69.95714286,7095.714286,100,3582576.857,4989635
7,2020-03-08,100.4,77.5,7850,100,3720183.857,2122328
1,2020-03-07,90.4,82.91428571,8391.428571,100,3883652.714,2817082
2,2020-03-06,91.6,87.14285714,8814.285714,100,4127648,5204732
3,2020-03-05,95.6,90.57142857,9157.142857,100,4320502.571,5513656
4,2020-03-04,96.8,92.75714286,9375.714286,100,4435285.857,5515945
5,2020-03-03,96.1,94.35714286,9535.714286,100,4523133.429,5498556
6,2020-03-02,123.9,99.25714286,10025.71429,100,4574193.429,5347055
7,2020-03-01,98.7,99.01428571,10001.42857,100,4587375.286,2214601
