date,HOSPITALIZED_COUNT,rolling_seven,log_hosp,Covid-19 Hospitalizations Index Original,Covid-19 Hospitalizations Index
2022-06-20,109,105.42857142857144,2.027058232734036,42.08405049331326,42.08405049331326
2022-06-19,88,107.28571428571428,2.034571165617797,41.869395268062945,41.869395268062945
2022-06-18,65,97.42857142857144,1.993121181893369,43.05368051733232,43.05368051733232
2022-06-17,92,100.28571428571428,2.0055481951688097,42.69862299517687,42.69862299517687
2022-06-16,113,101,2.0086001717619175,42.61142366394522,42.61142366394522
2022-06-15,110,101.14285714285714,2.0092080017868237,42.59405709180504,42.59405709180504
2022-06-14,112,103.42857142857144,2.018819336943604,42.31944751589703,42.31944751589703
2022-06-13,113,100.28571428571428,2.0055481951688097,42.69862299517687,42.69862299517687
2022-06-12,77,100.28571428571428,2.0055481951688097,42.69862299517687,42.69862299517687
2022-06-11,67,87.57142857142857,1.947293649483997,44.36303858617151,44.36303858617151
2022-06-10,78,87.57142857142857,1.947293649483997,44.36303858617151,44.36303858617151
2022-06-09,95,89.71428571428571,1.9576756852777188,44.06640899206518,44.06640899206518
2022-06-08,113,90.85714285714286,1.9631129329099652,43.91105905971527,43.91105905971527
2022-06-07,79,89.42857142857143,1.9563056700030983,44.10555228562576,44.10555228562576
2022-06-06,102,95.71428571428572,1.9854906286708875,43.27169632368892,43.27169632368892
2022-06-05,79,95.71428571428572,1.9854906286708875,43.27169632368892,43.27169632368892
2022-06-04,51,78.42857142857143,1.8999767515678003,45.7149499552057,45.7149499552057
2022-06-03,72,79,1.9030899869919435,45.62600037165876,45.62600037165876
2022-06-02,78,80.14285714285714,1.909250295696762,45.44999155152109,45.44999155152109
2022-06-01,91,83.57142857142857,1.9272236667086629,44.93646666546678,44.93646666546678
2022-05-31,92,88.28571428571429,1.9507819773298185,44.2633720762909,44.2633720762909
2022-05-30,91,89.57142857142857,1.956991217867476,44.0859652037864,44.0859652037864
2022-05-29,74,95.57142857142856,1.984848655927379,43.290038402074885,43.290038402074885
2022-05-28,53,98.42857142857144,1.9975111995963053,42.928251440105555,42.928251440105555
2022-05-27,75,107.57142857142856,2.0357155522665344,41.83669850667045,41.83669850667045
2022-05-26,102,111.85714285714286,2.0525290512761845,41.35631282068045,41.35631282068045
2022-05-25,119,106,2.0293837776852097,42.01760635185116,42.01760635185116
2022-05-24,99,102.42857142857144,2.01464052618289,42.43884210906028,42.43884210906028
2022-05-23,132,103,2.0170333392987803,42.37047602003485,42.37047602003485
2022-05-22,109,99.42857142857144,2.001857285005567,42.80407757126952,42.80407757126952
2022-05-21,105,89.85714285714286,1.9583590756341571,44.04688355330981,44.04688355330981
2022-05-20,100,89.14285714285714,1.9549313192298776,44.144819450574936,44.144819450574936
2022-05-19,54,90.42857142857144,1.9610819339696304,43.96908760086771,43.96908760086771
2022-05-18,93,96.42857142857144,1.988686334642222,43.18039043879366,43.18039043879366
2022-05-17,99,97.14285714285714,1.9918586970452936,43.08975151299161,43.08975151299161
2022-05-16,107,96.57142857142856,1.9893226636672756,43.162209609506405,43.162209609506405
2022-05-15,71,95,1.9822712330395684,43.36367905601233,43.36367905601233
2022-05-14,98,91.57142857142856,1.9664769658563368,43.8149438326761,43.8149438326761
2022-05-13,105,88.57142857142857,1.9521695008164597,44.22372854810115,44.22372854810115
2022-05-12,93,84.57142857142857,1.9323287823750543,44.79060621785559,44.79060621785559
2022-05-11,98,85.14285714285714,1.9352192721258945,44.70802079640301,44.70802079640301
2022-05-10,89,82.71428571428571,1.922799576003834,45.06286925703332,45.06286925703332
2022-05-09,96,82.42857142857143,1.9213148070981427,45.10529122576735,45.10529122576735
2022-05-08,62,78,1.8976270912904416,45.78208310598739,45.78208310598739
2022-05-07,71,73.85714285714286,1.8742332469694696,46.45047865801515,46.45047865801515
2022-05-06,70,73.28571428571429,1.8709053036205423,46.54556275369879,46.54556275369879
2022-05-05,94,74.14285714285714,1.875887704139482,46.40320845315765,46.40320845315765
2022-05-04,77,72,1.863322860120456,46.762203996558405,46.762203996558405
2022-05-03,84,73.42857142857143,1.8717396832852675,46.521723334706635,46.521723334706635
2022-05-02,61,71.71428571428571,1.8616197423225016,46.81086450507138,46.81086450507138
2022-05-01,60,72,1.863322860120456,46.762203996558405,46.762203996558405
2022-04-30,65,65.85714285714286,1.8251478130598673,47.85291962686094,47.85291962686094
2022-04-29,71,64.14285714285714,1.813866802650178,48.17523420999491,48.17523420999491
2022-04-28,76,66.42857142857143,1.828843958619831,47.74731546800483,47.74731546800483
2022-04-27,77,64.28571428571429,1.8148181600555937,48.14805256984018,48.14805256984018
2022-04-26,71,59.857142857142854,1.7843115590884622,49.019669740329654,49.019669740329654
2022-04-25,56,58.142857142857146,1.7719023011066422,49.37421996838165,49.37421996838165
2022-04-24,45,58.42857142857143,1.7739952906124858,49.31442026821469,49.31442026821469
2022-04-23,49,55.714285714285715,1.7536924667488585,49.894500950032615,49.894500950032615
2022-04-22,81,54.42857142857143,1.7437336855799503,50.17903755485856,50.17903755485856
2022-04-21,61,50.714285714285715,1.7136105305189089,51.03969912803117,51.03969912803117
2022-04-20,40,48.714285714285715,1.696481203932324,51.529108459076454,51.529108459076454
2022-04-19,55,50.142857142857146,1.7087849866296176,51.17757181058236,51.17757181058236
2022-04-18,54,49,1.6989700043360187,51.457999876113746,51.457999876113746
2022-04-17,50,49.857142857142854,1.7063519579586184,51.247086915468046,51.247086915468046
2022-04-16,31,43.285714285714285,1.646263653820016,52.96389560514241,52.96389560514241
2022-04-15,49,45,1.662757831681574,52.492633380526456,52.492633380526456
2022-04-14,42,44.57142857142857,1.6586926430429243,52.60878162734501,52.60878162734501
2022-04-13,46,44.857142857142854,1.6614069923906152,52.53122878883957,52.53122878883957
2022-04-12,44,44.57142857142857,1.6586926430429243,52.60878162734501,52.60878162734501
2022-04-11,56,45.142857142857146,1.664104482316846,52.45415764809012,52.45415764809012
2022-04-10,35,42.57142857142857,1.639201799332529,53.16566287621346,53.16566287621346
2022-04-09,39,38.285714285714285,1.5942346538160057,54.45043846239983,54.45043846239983
2022-04-08,41,36.57142857142857,1.574857708475501,55.00406547212854,55.00406547212854
2022-04-07,39,35.714285714285715,1.5648350833170377,55.29042619094178,55.29042619094178
2022-04-06,43,36.142857142857146,1.5698753079565613,55.146419772669674,55.146419772669674
2022-04-05,45,35.857142857142854,1.5665216659489734,55.242238115743625,55.242238115743625
2022-04-04,35,33.714285714285715,1.5405082335840554,55.985479040455566,55.985479040455566
2022-04-03,26,33.285714285714285,1.5351132016973492,56.139622808647175,56.139622808647175
2022-04-02,25,29.571428571428573,1.485315733334934,57.56240761900189,57.56240761900189
2022-04-01,32,29.142857142857142,1.479184415283436,57.73758813475898,57.73758813475898
2022-03-31,37,30.285714285714285,1.4953460748258616,57.2758264335468,57.2758264335468
2022-03-30,34,28.285714285714285,1.4666558210414975,58.09554797024292,58.09554797024292
2022-03-29,29,26.714285714285715,1.442703689915969,58.77989457382945,58.77989457382945
2022-03-28,30,26.714285714285715,1.442703689915969,58.77989457382945,58.77989457382945
2022-03-27,20,26.142857142857142,1.4336555609385722,59.038412544612214,59.038412544612214
2022-03-26,16,23.57142857,1.390430407,60.27341695,60.27341695
2022-03-25,33,24.28571429,1.402875226,59.91785068,59.91785068
2022-03-24,21,23.71428571,1.392948063,60.20148391,60.20148391
2022-03-23,20,24.85714286,1.412580535,59.64055615,59.64055615
2022-03-22,27,25.57142857,1.424414904,59.30243131,59.30243131
2022-03-21,24,26,1.431363764,59.10389245,59.10389245
2022-03-20,24,27.28571429,1.45156715,58.52665285,58.52665285
2022-03-19,12,20.57142857,1.333878907,61.88917408,61.88917408
2022-03-18,22,21.42857143,1.350801612,61.40566822,61.40566822
2022-03-17,15,21.14285714,1.345233658,61.56475262,61.56475262
2022-03-16,19,22.71428571,1.375010048,60.71399863,60.71399863
2022-03-15,23,23.14285714,1.382788665,60.49175244,60.49175244
2022-03-14,31,22.28571429,1.367089564,60.94029816,60.94029816
2022-03-13,22,20.42857143,1.330993219,61.97162231,61.97162231
2022-03-12,16,18.28571429,1.285235728,63.27897919,63.27897919
2022-03-11,15,19.14285714,1.304121073,62.73939792,62.73939792
2022-03-10,22,21.85714286,1.359021943,61.17080164,61.17080164
2022-03-09,23,23.42857143,1.38789807,60.34576942,60.34576942
2022-03-08,16,24.57142857,1.407754991,59.77842883,59.77842883
2022-03-07,18,27.28571429,1.45156715,58.52665285,58.52665285
2022-03-06,18,29.28571429,1.481237821,57.6789194,57.6789194
2022-03-05,18,27.14285714,1.449368186,58.5894804,58.5894804
2022-03-04,24,27.28571429,1.45156715,58.52665285,58.52665285
2022-03-03,30,29.28571429,1.481237821,57.6789194,57.6789194
2022-03-02,28,30.57142857,1.499294234,57.1630219,57.1630219
2022-03-01,37,32,1.51851394,56.61388743,56.61388743
2022-02-28,32,33.85714286,1.542291786,55.93452039,55.93452039
2022-02-27,21,35,1.556302501,55.53421426,55.53421426
2022-02-26,19,36.28571429,1.571542467,55.09878665,55.09878665
2022-02-25,36,40.14285714,1.614294448,53.87730149,53.87730149
2022-02-24,36,42.57142857,1.639201799,53.16566288,53.16566288
2022-02-23,40,47.57142857,1.686380877,51.81768923,51.81768923
2022-02-22,50,51.14285714,1.717194824,50.93729073,50.93729073
2022-02-21,40,54.14285714,1.741489265,50.24316387,50.24316387
2022-02-20,33,58.71428571,1.776078242,49.25490738,49.25490738
2022-02-19,36,55.85714286,1.754785032,49.8632848,49.8632848
2022-02-18,50,60,1.785329835,48.99057614,48.99057614
2022-02-17,57,65.85714286,1.825147813,47.85291963,47.85291963
2022-02-16,60,69.42857143,1.847748879,47.20717488,47.20717488
2022-02-15,68,76,1.886490725,46.100265,46.100265
2022-02-14,66,83.42857143,1.926489441,44.95744455,44.95744455
2022-02-13,54,88.14285714,1.95008655,44.28324144,44.28324144
2022-02-12,60,93.85714286,1.977070039,43.51228459,43.51228459
2022-02-11,91,101.4285714,2.010421116,42.5593967,42.5593967
2022-02-10,81,108,2.037426498,41.78781434,41.78781434
2022-02-09,104,114,2.06069784,41.12291885,41.12291885
2022-02-08,123,120.4285714,2.084320886,40.44797469,40.44797469
2022-02-07,100,126.1428571,2.104291967,39.87737238,39.87737238
2022-02-06,98,139.5714286,2.147897058,38.63151262,38.63151262
2022-02-05,100,140.1428571,2.149658905,38.58117416,38.58117416
2022-02-04,115,145,2.164352856,38.16134698,38.16134698
2022-02-03,124,158.2857143,2.202176827,37.08066208,37.08066208
2022-02-02,148,179.1428571,2.255617047,35.55379867,35.55379867
2022-02-01,162,195.7142857,2.2938359,34.46183142,34.46183142
2022-01-31,194,219.2857143,2.342986334,33.05753332,33.05753332
2022-01-30,138,239.8571429,2.38175953,31.94972771,31.94972771
2022-01-29,117,234.5714286,2.372122616,32.22506812,32.22506812
2022-01-28,166,256.2857143,2.410415673,31.13098078,31.13098078
2022-01-27,239,283.7142857,2.454409259,29.87402118,29.87402118
2022-01-26,245,315.2857143,2.500079577,28.56915496,28.56915496
2022-01-25,310,339.8571429,2.532572399,27.64078859,27.64078859
2022-01-24,312,365.1428571,2.563650566,26.75284097,26.75284097
2022-01-23,253,396.2857143,2.599102949,25.73991575,25.73991575
2022-01-22,267,424.7142857,2.629118224,24.88233646,24.88233646
2022-01-21,357,458.2857143,2.662082937,23.94048751,23.94048751
2022-01-20,468,504,2.703291378,22.76310348,22.76310348
2022-01-19,421,538.1428571,2.731703856,21.95131841,21.95131841
2022-01-18,490,584.8571429,2.767791729,20.92023631,20.92023631
2022-01-17,540,623,2.79518459,20.13758315,20.13758315
2022-01-16,430,676.5714286,2.830955085,19.11556901,19.11556901
2022-01-15,491,704.7142857,2.848628909,18.6106026,18.6106026
2022-01-14,667,743,2.871572936,17.95505898,17.95505898
2022-01-13,693,759.8571429,2.881303122,17.67705365,17.67705365
2022-01-12,731,793.7142857,2.90021102,17.136828,17.136828
2022-01-11,742,843.8571429,2.92678328,16.37762057,16.37762057
2022-01-10,903,877.1428571,2.943565173,15.89813791,15.89813791
2022-01-09,706,905.4285714,2.957333586,15.50475467,15.50475467
2022-01-08,702,966.7142857,2.985747152,14.69293851,14.69293851
2022-01-07,762,988.2857143,2.995321738,14.41937892,14.41937892
2022-01-06,903,991.7142857,2.996824272,14.37644938,14.37644938
2022-01-05,1069,1005.857143,3.002967855,14.20091842,14.20091842
2022-01-04,963,982.7142857,2.992868978,14.48945776,14.48945776
2022-01-03,1094,963.4285714,2.984270068,14.73514092,14.73514092
2022-01-02,1274,943.8571429,2.975366151,14.98953856,14.98953856
2022-01-01,811,835.8571429,2.922651327,16.49567636,16.49567636
2021-12-31,758,804,2.90579588,16.97726056,16.97726056
2021-12-30,967,773.7142857,2.889141564,17.45309816,17.45309816
2021-12-29,872,726.7142857,2.861960901,18.22968855,18.22968855
2021-12-28,789,693.2857143,2.841538229,18.81319345,18.81319345
2021-12-27,935,639.2857143,2.806373812,19.81789108,19.81789108
2021-12-26,719,561.8571429,2.750398182,21.41719481,21.41719481
2021-12-25,581,500.4285714,2.700209076,22.85116924,22.85116924
2021-12-24,540,456.2857143,2.660187634,23.99463902,23.99463902
2021-12-23,627,418,2.622214023,25.07959934,25.07959934
2021-12-22,634,372.5714286,2.572373653,26.50360991,26.50360991
2021-12-21,409,312.1428571,2.49574251,28.69307115,28.69307115
2021-12-20,396,281,2.450249108,29.99288262,29.99288262
2021-12-19,316,251.7142857,2.402629793,31.35343449,31.35343449
2021-12-18,242,212.5714286,2.329543153,33.44162421,33.44162421
2021-12-17,249,195,2.292256071,34.50696939,34.50696939
2021-12-16,290,181.5714286,2.261432814,35.38763389,35.38763389
2021-12-15,207,157.2857143,2.19944172,37.15880799,37.15880799
2021-12-14,186,145.2857143,2.165201917,38.1370881,38.1370881
2021-12-13,187,136.7142857,2.138978994,38.88631446,38.88631446
2021-12-12,127,126.4285714,2.105266814,39.84951959,39.84951959
2021-12-11,119,122.5714286,2.091918067,40.23091236,40.23091236
2021-12-10,155,117.4285714,2.073456491,40.75838598,40.75838598
2021-12-09,120,109.5714286,2.043642921,41.61020227,41.61020227
2021-12-08,123,103.7142857,2.020005935,42.28554472,42.28554472
2021-12-07,126,97.71428571,1.994380007,43.01771408,43.01771408
2021-12-06,115,91.14285714,1.964461675,43.87252358,43.87252358
2021-12-05,100,85.57142857,1.937374584,44.64644045,44.64644045
2021-12-04,74,68.71428571,1.843321782,47.33366337,47.33366337
2021-12-03,82,65.57142857,1.823287877,47.90606067,47.90606067
2021-12-02,64,62.71428571,1.804236819,48.45037661,48.45037661
2021-12-01,72,61.71428571,1.79736648,48.64667199,48.64667199
2021-11-30,71,59.57142857,1.782267817,49.07806238,49.07806238
2021-11-29,68,56.57142857,1.760207006,49.70837125,49.70837125
2021-11-28,50,54.14285714,1.741489265,50.24316387,50.24316387
2021-11-27,47,49,1.698970004,51.45799988,51.45799988
2021-11-26,61,48.57142857,1.695231435,51.56481615,51.56481615
2021-11-25,54,45.57142857,1.66811956,52.33944114,52.33944114
2021-11-24,51,44.28571429,1.655961222,52.68682222,52.68682222
2021-11-23,43,43.71428571,1.650446298,52.8443915,52.8443915
2021-11-22,51,42.57142857,1.639201799,53.16566288,53.16566288
2021-11-21,36,41,1.62324929,53.62144885,53.62144885
2021-11-20,41,39.14285714,1.60360828,54.18262057,54.18262057
2021-11-19,38,38,1.591064607,54.54101123,54.54101123
2021-11-18,41,38,1.591064607,54.54101123,54.54101123
2021-11-17,48,38.42857143,1.595811042,54.4053988,54.4053988
2021-11-16,33,37.57142857,1.586265724,54.67812217,54.67812217
2021-11-15,41,37.14285714,1.581413221,54.8167651,54.8167651
2021-11-14,32,37.71428571,1.587871251,54.63224998,54.63224998
2021-11-13,30,36.14285714,1.569875308,55.14641977,55.14641977
2021-11-12,35,36.42857143,1.573203251,55.05133568,55.05133568
2021-11-11,45,35.28571429,1.559735677,55.43612353,55.43612353
2021-11-10,38,34,1.544068044,55.88377016,55.88377016
2021-11-09,28,35.28571429,1.559735677,55.43612353,55.43612353
2021-11-08,45,37.28571429,1.583036754,54.77037846,54.77037846
