Week Ending,Number of Pending Sales,iso_week,three_week_2019_rolling_average,Home Sales Index Original,Home Sales Index,Date
2020-07-05,166,27,426.3333333,38.93666928,38.93666928,2020-07-04
2020-06-28,170,26,423.6666667,40.12588513,40.12588513,2020-06-27
2020-06-21,182,25,449.6666667,40.4744255,40.4744255,2020-06-20
2020-06-14,145,24,427,33.95784543,33.95784543,2020-06-13
2020-06-07,140,23,417.6666667,33.51955307,33.51955307,2020-06-06
2020-05-31,92,22,412.3333333,22.31204527,22.31204527,2020-05-30
2020-05-24,102,21,422.3333333,24.15153907,24.15153907,2020-05-23
2020-05-17,101,20,440.6666667,22.91981846,22.91981846,2020-05-16
2020-05-10,77,19,467,16.4882227,16.4882227,2020-05-09
2020-05-03,86,18,469,18.33688699,18.33688699,2020-05-02
2020-04-26,96,17,458,20.96069869,20.96069869,2020-04-25
2020-04-19,92,16,446.6666667,20.59701492,20.59701492,2020-04-18
2020-04-12,110,15,452.6666667,24.30044182,24.30044182,2020-04-11
2020-04-05,105,14,450.6666667,23.29881657,23.29881657,2020-04-04
2020-03-29,124,13,441.6666667,28.0754717,28.0754717,2020-03-28
2020-03-22,211,12,431.3333333,48.91808347,48.91808347,2020-03-21
2020-03-15,379,11,426,88.96713615,88.96713615,2020-03-14
2020-03-08,405,10,400.6666667,101.0815308,100,2020-03-07
2020-03-01,406,9,378,107.4074074,100,2020-02-29
2020-02-23,339,8,371,91.37466307,91.37466307,2020-02-22
2020-02-16,404,7,366.3333333,110.2820746,100,2020-02-15
2020-02-09,406,6,368.3333333,110.2262444,100,2020-02-08
2020-02-02,407,5,335,121.4925373,100,2020-02-01
2020-01-26,314,4,328.3333333,95.63451778,95.63451778,2020-01-25
2020-01-19,365,3,292.6666667,124.7152619,100,2020-01-18
2020-01-12,308,2,287.3333333,107.1925754,100,2020-01-11
2020-01-05,243,1,249.6666667,97.32977302,97.32977302,2020-01-04
