DATE,2022-01-01
New York City Recovery Index,11.827046141709587
Covid-19 Hospitalizations Index,-6.355492882278735
Unemployment Claims Index,9.981930066955144
Home Sales Index,71.09612322657007
Rental Inventory Index,-6.507426418131814
Subway Mobility Index,-3.7428571428571473
Restaurant Reservations Index,6.490000000000002
